q_id,type,question,kg_answer,ground_truth,kg_response,llm_response,rag_response
Q-COMP-190,compliance_audit,Which overtime rule applies to employee EMP-00255 in UK_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-191,compliance_audit,Which overtime rule applies to employee EMP-00125 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-192,compliance_audit,Which overtime rule applies to employee EMP-01928 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated
Q-COMP-193,compliance_audit,Which overtime rule applies to employee EMP-00252 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-194,compliance_audit,Which overtime rule applies to employee EMP-00586 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-195,compliance_audit,Which overtime rule applies to employee EMP-01569 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-196,compliance_audit,Which overtime rule applies to employee EMP-00825 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-197,compliance_audit,Which overtime rule applies to employee EMP-00508 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-198,compliance_audit,Which overtime rule applies to employee EMP-00890 in UK_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT,hallucinated
Q-COMP-199,compliance_audit,Which overtime rule applies to employee EMP-00071 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated
Q-COMP-200,compliance_audit,Which overtime rule applies to employee EMP-01609 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-201,compliance_audit,Which overtime rule applies to employee EMP-01533 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-202,compliance_audit,Which overtime rule applies to employee EMP-00248 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-203,compliance_audit,Which overtime rule applies to employee EMP-01451 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,hallucinated
Q-COMP-204,compliance_audit,Which overtime rule applies to employee EMP-00213 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-205,compliance_audit,Which overtime rule applies to employee EMP-00910 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,hallucinated,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-206,compliance_audit,Which overtime rule applies to employee EMP-01742 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-207,compliance_audit,Which overtime rule applies to employee EMP-01245 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-208,compliance_audit,Which overtime rule applies to employee EMP-01697 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,hallucinated,FLSA_Weekly_OT
Q-COMP-209,compliance_audit,Which overtime rule applies to employee EMP-01183 in UK_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-210,compliance_audit,Which overtime rule applies to employee EMP-00362 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-211,compliance_audit,Which overtime rule applies to employee EMP-01474 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,hallucinated
Q-COMP-212,compliance_audit,Which overtime rule applies to employee EMP-00679 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-213,compliance_audit,Which overtime rule applies to employee EMP-01622 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-214,compliance_audit,Which overtime rule applies to employee EMP-01090 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-215,compliance_audit,Which overtime rule applies to employee EMP-01988 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,hallucinated,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-216,compliance_audit,Which overtime rule applies to employee EMP-01848 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated
Q-COMP-217,compliance_audit,Which overtime rule applies to employee EMP-00988 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-218,compliance_audit,Which overtime rule applies to employee EMP-01513 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-219,compliance_audit,Which overtime rule applies to employee EMP-00112 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-220,compliance_audit,Which overtime rule applies to employee EMP-01488 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,hallucinated
Q-COMP-221,compliance_audit,Which overtime rule applies to employee EMP-01454 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-222,compliance_audit,Which overtime rule applies to employee EMP-00384 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-223,compliance_audit,Which overtime rule applies to employee EMP-01396 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,hallucinated,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-224,compliance_audit,Which overtime rule applies to employee EMP-01055 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-225,compliance_audit,Which overtime rule applies to employee EMP-00756 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-226,compliance_audit,Which overtime rule applies to employee EMP-00325 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-227,compliance_audit,Which overtime rule applies to employee EMP-01624 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-228,compliance_audit,Which overtime rule applies to employee EMP-00788 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-229,compliance_audit,Which overtime rule applies to employee EMP-00369 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-230,compliance_audit,Which overtime rule applies to employee EMP-01820 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-231,compliance_audit,Which overtime rule applies to employee EMP-00070 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-232,compliance_audit,Which overtime rule applies to employee EMP-00858 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-233,compliance_audit,Which overtime rule applies to employee EMP-01484 in NY?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-234,compliance_audit,Which overtime rule applies to employee EMP-01556 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-235,compliance_audit,Which overtime rule applies to employee EMP-01692 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-236,compliance_audit,Which overtime rule applies to employee EMP-01475 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-237,compliance_audit,Which overtime rule applies to employee EMP-01799 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-238,compliance_audit,Which overtime rule applies to employee EMP-00479 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-COMP-239,compliance_audit,Which overtime rule applies to employee EMP-00282 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-240,compliance_audit,Which overtime rule applies to employee EMP-01648 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-241,compliance_audit,Which overtime rule applies to employee EMP-01557 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-242,compliance_audit,Which overtime rule applies to employee EMP-01730 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-243,compliance_audit,Which overtime rule applies to employee EMP-00211 in WA?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-244,compliance_audit,Which overtime rule applies to employee EMP-00298 in TX?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-245,compliance_audit,Which overtime rule applies to employee EMP-01885 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-246,compliance_audit,Which overtime rule applies to employee EMP-01834 in FL?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-247,compliance_audit,Which overtime rule applies to employee EMP-00652 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-248,compliance_audit,Which overtime rule applies to employee EMP-01234 in DE_national?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,hallucinated,FLSA_Weekly_OT
Q-COMP-249,compliance_audit,Which overtime rule applies to employee EMP-01503 in federal?,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT,FLSA_Weekly_OT
Q-COMP-250,compliance_audit,Which overtime rule applies to employee EMP-01932 in CA?,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,CA_Daily_OT_8hr overrides FLSA_Weekly_OT,hallucinated,CA_Daily_OT_8hr overrides FLSA_Weekly_OT
Q-POP-251,population_query,What is the average gross pay in Engineering?,6903.3,6903.3,6903.3,6903.3,hallucinated
Q-POP-252,population_query,What is the average gross pay in HR?,7004.65,7004.65,7004.65,hallucinated,7004.65
Q-POP-253,population_query,What is the average gross pay in Finance?,6952.61,6952.61,hallucinated,hallucinated,6952.61
Q-POP-254,population_query,What is the average gross pay in Operations?,7027.15,7027.15,7027.15,7027.15,7027.15
Q-POP-255,population_query,What is the average gross pay in Legal?,6857.26,6857.26,6857.26,6857.26,hallucinated
Q-META-256,system_metadata,What pay rules are active in jurisdiction CA?,PayRule for CA from PayrollKG ontology,PayRule for CA from PayrollKG ontology,PayRule for CA from PayrollKG ontology,PayRule for CA from PayrollKG ontology,PayRule for CA from PayrollKG ontology
Q-META-257,system_metadata,What pay rules are active in jurisdiction NY?,PayRule for NY from PayrollKG ontology,PayRule for NY from PayrollKG ontology,hallucinated,PayRule for NY from PayrollKG ontology,PayRule for NY from PayrollKG ontology
Q-META-258,system_metadata,What pay rules are active in jurisdiction TX?,PayRule for TX from PayrollKG ontology,PayRule for TX from PayrollKG ontology,PayRule for TX from PayrollKG ontology,hallucinated,hallucinated
Q-META-259,system_metadata,What pay rules are active in jurisdiction federal?,PayRule for federal from PayrollKG ontology,PayRule for federal from PayrollKG ontology,PayRule for federal from PayrollKG ontology,hallucinated,PayRule for federal from PayrollKG ontology
